,total_sessions,total_session_seconds,total_calories
2770-37,2,6780,972
4832-26,2,5700,1877
2505-28,2,9720,2361
1878-14,4,30600,2902
4400-37,1,5580,1633
1598-37,1,8640,1030
275-27,1,8760,605
1156-35,1,4320,893
1969-9,1,4740,468
3381-33,1,9000,929
236-24,1,8700,519
2027-16,2,9660,1912
2705-7,1,8820,308
1656-5,1,7620,639
3296-13,1,7080,675
3680-26,1,1920,1177
3731-14,1,3840,1573
1958-3,2,8280,1861
3323-38,2,13320,1994
1743-28,1,4980,891
2337-40,2,15480,3536
3251-27,2,13440,986
2042-17,1,8820,1664
219-20,1,3180,1102
1847-7,1,7860,870
244-6,2,11340,1245
1179-37,1,6480,531
2938-28,1,5820,846
1844-9,1,8640,393
23-5,1,10620,1199
2704-33,1,3780,690
3200-35,1,5640,878
2527-30,3,22260,1802
3467-20,3,25080,2697
1613-2,1,3660,429
3076-36,1,3000,1153
2347-15,1,2280,1107
4178-34,1,2520,1244
2461-33,1,6780,640
100-34,1,3780,875
3953-37,5,28080,4515
1090-34,3,6300,2667
150-39,1,5940,1264
1636-36,1,4980,1997
2915-32,2,11040,2381
3234-37,2,5640,2100
4102-25,1,7560,931
100-3,1,8100,695
1777-38,2,9780,1395
1513-41,2,7020,1725
1735-2,2,12720,1542
4588-3,1,9420,1255
1435-15,1,9120,871
1033-15,1,4680,542
1038-15,1,6180,572
2107-8,1,5040,1390
976-2,1,6540,840
2487-12,1,6420,585
4759-13,2,9360,1849
1395-5,4,21180,3068
1850-13,2,12780,1898
2308-23,2,14100,1481
1457-23,2,11220,1956
2853-20,2,6060,851
1771-9,1,8100,552
434-40,1,10020,1149
1794-40,1,9720,379
3509-38,1,5940,520
4381-9,2,17220,1156
755-7,2,14640,2202
2545-9,1,7380,868
3353-36,1,6000,481
346-27,1,3180,654
1565-3,1,1860,305
4268-30,1,9360,1289
190-1,1,5580,754
4494-35,2,7860,1665
2236-8,2,8040,2552
4078-38,1,5940,1390
3761-34,1,10320,670
2379-31,2,12240,2030
4410-16,1,4920,944
631-40,2,11820,1611
3480-40,2,14940,911
2193-41,1,4980,252
2485-3,1,6180,622
2050-41,1,3360,1152
4489-9,1,8220,654
550-39,1,6720,1131
3206-17,1,6660,546
1632-35,2,6120,1841
1189-3,4,26580,4955
698-36,1,7500,291
294-22,1,3300,1201
3852-28,2,12240,1879
888-11,1,6240,714
1466-31,2,13320,1563
1807-7,2,18240,953
578-7,2,8700,2150
2831-32,2,12600,1985
3867-32,2,9600,1788
4895-5,1,6540,797
2054-6,1,10320,1050
2182-41,2,10080,484
4147-11,1,6480,493
4843-1,1,3840,585
4560-14,2,12000,1558
4649-31,1,6240,1315
1355-36,1,7020,975
1-25,1,3780,654
1942-16,2,10620,1920
1777-39,1,3480,1266
1064-41,2,16020,1181
3764-33,1,1860,384
3313-26,2,10020,1018
3995-12,1,5460,566
358-16,1,10200,789
2368-14,1,8940,692
2484-39,2,7980,1371
1613-24,2,14220,2316
4-37,1,9720,1549
4731-14,1,10620,294
3469-38,3,18540,2798
4800-7,3,21900,3234
3493-8,1,7860,571
3059-26,1,6060,843
282-11,1,5940,1563
730-39,1,10200,699
728-34,3,17580,2712
452-40,1,7680,325
3192-31,2,17760,1920
4360-31,1,10080,788
4002-31,3,19080,2340
1561-31,1,6360,1031
4269-39,1,6060,955
2731-24,1,9360,511
521-30,1,5460,331
3369-40,2,7680,3327
3167-30,2,10500,2723
4566-34,1,4440,1582
2013-12,1,6480,1168
1586-17,1,3540,1503
52-32,1,3480,678
1101-32,1,2100,1641
2109-15,3,30900,3346
20-13,1,8580,312
282-40,2,15240,1614
4915-4,2,10680,2439
2308-29,1,5700,1481
3491-8,1,3420,778
3912-24,2,11100,2408
3161-38,2,15660,2459
3630-23,1,9180,737
294-31,1,8820,753
3520-14,2,18060,1223
74-35,1,8460,415
4567-8,1,8280,313
23-32,1,2640,457
3555-19,2,4920,2771
2582-32,1,9180,1422
3079-18,1,8760,1489
419-28,1,9420,251
4541-37,1,2340,1069
585-12,1,4800,621
1273-39,2,13260,2866
3381-14,2,10200,1820
1867-18,2,10860,3116
3842-21,3,18360,2117
264-26,1,1920,706
2983-33,1,3600,435
2468-26,1,6660,320
3262-14,1,5340,235
4739-2,2,15480,1246
1862-29,2,12300,2048
3148-30,1,1920,805
2364-18,1,2340,983
2095-38,2,15360,752
3540-29,1,8700,779
2023-8,2,8760,2132
1444-5,3,17280,1334
343-35,1,2400,388
1718-37,1,6300,761
1005-40,2,8820,2712
3049-39,1,1800,1006
2309-17,2,4800,1661
3734-1,1,3840,704
3158-22,2,7020,1833
4361-6,1,2640,561
1208-8,1,5100,1274
959-37,2,12180,1729
25-5,1,6360,1038
889-34,1,9480,336
1208-6,1,4860,872
3906-29,1,2460,401
1164-30,2,8700,2157
4199-15,2,14580,1908
3402-7,2,7800,1829
473-32,1,7620,672
3304-40,2,10140,1763
3705-20,1,4860,664
4450-34,1,8460,396
3972-35,2,7860,1842
1632-22,3,17640,1632
3660-24,1,7200,852
3976-23,1,9300,1062
571-22,1,7500,1303
3824-13,1,8160,632
3014-39,1,10560,1305
3213-10,1,2760,761
4150-19,1,4740,189
2707-37,1,5940,1646
3167-14,1,8460,1018
3107-1,1,8340,561
757-10,1,7020,422
1736-15,1,5520,339
2147-15,2,8520,1291
1975-1,2,14160,1826
4165-18,1,7800,327
2753-17,2,9600,1918
718-18,1,5100,1445
3259-7,1,1980,444
498-1,3,18600,3903
352-32,2,13320,1288
3331-30,1,8760,463
604-24,1,3900,534
2390-6,1,7500,517
3908-1,1,7800,1032
1657-34,1,9360,997
2857-39,1,4320,1535
138-19,1,4440,659
4836-28,1,2820,1209
4091-22,3,14280,1426
3978-32,2,11760,1172
603-2,1,9660,431
4581-23,3,16440,1847
490-34,2,10320,1270
3381-15,1,8340,793
297-16,1,4260,379
620-32,1,8880,662
1688-8,1,8820,772
4511-9,1,9180,865
3752-14,1,8280,879
4992-15,2,16740,1116
1009-22,2,4860,1542
494-28,1,8760,1491
2743-9,2,5760,2026
965-38,1,10140,386
4835-31,2,7620,1573
4355-3,4,34980,3554
4736-52,1,10320,1207
1930-3,2,7980,1563
4535-24,1,6060,241
2897-41,2,13560,2294
2099-19,2,4260,1654
332-37,2,11160,1544
751-39,2,15480,1540
1664-18,1,7140,532
4798-11,3,15780,2346
2929-29,1,3660,875
4879-3,1,10740,520
3961-29,1,4740,551
1976-31,1,5700,1102
4960-11,2,15360,2308
3350-14,3,16860,3989
1385-27,1,8580,1523
4012-27,1,10020,1122
2459-34,1,3840,865
3704-8,2,10260,753
3014-20,1,10080,296
1416-27,1,9600,537
36-28,1,6540,1046
455-9,1,10560,686
3586-6,1,3720,468
1160-25,3,16980,3166
2744-30,1,7080,321
2802-27,1,2940,1226
4359-6,1,7980,822
3197-38,1,8940,1030
3794-28,4,26220,3355
3506-34,1,7080,1153
3816-30,2,18240,2418
2209-30,1,3780,855
1804-33,1,5220,599
622-36,1,6780,842
1274-25,2,15180,2057
669-12,2,9780,1821
2648-31,2,18780,1452
4067-14,1,10200,1024
3332-10,1,5580,873
2837-23,1,10680,489
1105-18,1,9060,769
4802-27,1,10020,700
2661-17,1,3120,429
6-16,1,9480,241
1988-33,2,11220,1816
1817-40,1,3480,214
3838-24,1,8040,495
1881-16,3,17400,2701
3139-27,1,6720,1939
588-3,1,6540,530
2304-9,1,3960,470
2658-39,3,17760,2782
3791-35,2,10140,1868
4084-8,1,5280,1005
3374-26,1,9960,648
1176-19,1,5340,274
4772-35,3,20940,3742
4290-37,1,2100,1303
214-22,3,19620,2818
2826-22,1,5040,827
3337-10,1,9720,953
1391-17,1,10740,1526
4358-22,1,7200,587
930-26,1,6660,801
2998-8,2,12780,1311
2562-9,2,9660,2009
1324-14,1,7320,1052
874-18,1,9720,1033
1913-10,2,12060,2343
2258-12,1,6420,1360
3388-9,1,9840,1761
2752-5,1,7140,954
257-33,1,5760,1140
2423-31,2,16920,2395
3750-16,2,15240,1123
3349-31,2,12240,1568
3949-32,1,5760,848
789-21,1,8220,807
788-16,1,10140,1477
4892-2,3,21420,3770
542-1,2,13380,1828
3727-14,3,13920,2486
548-25,2,14940,1896
593-22,3,11640,1778
2481-39,1,2220,815
4741-34,2,13620,984
1083-37,1,7800,967
4454-1,1,6540,1094
2625-17,2,16500,2378
673-3,1,10620,1275
2541-16,1,9060,1529
3165-26,2,8520,2666
1506-41,2,14040,1833
2824-17,1,10200,510
2252-17,1,8040,607
906-35,1,6360,1439
142-41,2,9540,1965
2564-32,1,7020,1268
3252-27,1,8220,1358
2973-41,1,5580,196
4959-1,1,6480,344
156-15,2,8880,2632
1346-30,2,16980,2429
3894-7,1,6900,346
3850-23,1,6840,1149
1958-20,1,4080,778
3034-1,1,9660,364
266-7,1,8760,241
908-25,1,4500,1540
1893-9,1,6780,833
1606-25,2,16200,2261
3101-15,1,3540,799
3900-17,3,19320,3655
835-36,1,2340,865
4079-9,1,8040,1629
2572-6,1,8280,1747
2211-41,1,2520,983
3081-22,1,7260,1186
1153-17,2,15780,1016
974-26,1,7020,636
4195-18,2,17700,1525
476-20,1,2880,1369
2447-7,1,8040,314
4922-3,1,4020,870
1148-11,1,10740,1752
2567-6,2,10860,1289
4858-33,1,4920,569
730-28,1,8220,1275
4674-38,1,7380,1157
3649-16,1,6660,300
426-29,2,15360,2078
1425-10,1,3660,1751
3711-38,1,5580,1463
3497-33,1,4320,438
597-33,1,9120,1322
4715-40,1,6660,1401
1725-28,1,10260,627
2217-4,1,4740,836
4930-4,1,3120,559
2134-27,1,6360,1524
2428-52,1,4980,1598
4408-16,1,7200,348
3545-7,2,20220,1952
860-14,1,2700,1174
4185-17,2,9300,1277
4141-19,2,12540,2079
2983-27,1,2160,629
4173-16,2,13680,3219
1169-38,2,9540,1662
3359-38,2,6480,2169
2568-9,1,9540,495
4247-36,2,6600,1926
1941-10,1,7380,1207
923-10,3,21120,3831
3322-38,1,3300,1101
1176-21,1,4440,794
3692-27,2,9180,1355
1591-5,2,5820,2047
315-52,1,7440,983
2661-11,3,17160,2267
2270-30,2,13500,965
1381-19,1,7260,899
3075-37,2,12600,1576
3934-15,2,7620,3038
695-27,1,7080,1444
2558-39,2,13260,1613
438-26,1,2580,1694
2322-52,2,17640,2355
2217-35,1,9600,1593
3056-19,1,6600,629
882-25,1,10680,1045
2325-15,2,13020,1682
1176-12,1,6900,1647
4713-2,1,4980,810
621-6,1,6120,1061
4284-37,1,2100,1385
1937-7,1,9960,355
1446-35,1,3840,1489
4806-15,1,3840,806
4183-36,1,3360,1725
4046-40,1,7800,1919
2643-25,1,4140,1660
3157-25,1,3360,645
4783-4,1,4800,684
1027-13,1,7800,845
3423-2,2,12780,1821
624-37,2,12360,1562
3077-35,1,8880,1059
3212-18,3,13200,2068
4012-32,1,5040,1694
1637-31,1,6420,1201
1656-19,1,2340,486
4414-9,1,8520,1684
757-36,1,2100,1050
489-9,2,4980,1235
2775-20,1,7620,610
3135-7,1,7440,607
4844-38,1,9660,979
4379-9,1,9480,510
2797-28,1,5820,771
3102-18,1,5820,1401
720-20,1,2580,522
1920-25,1,7920,419
335-36,1,5280,792
2690-39,2,8220,2840
438-21,1,10680,1660
1479-1,1,6000,1538
1758-1,3,18060,2812
4027-19,2,9360,858
2745-10,1,7680,549
1244-6,1,9240,1807
483-8,1,4260,1068
463-7,1,3300,1672
4008-21,1,9900,742
864-36,1,6420,1471
3438-24,2,10980,1762
133-30,2,8460,1705
1724-20,1,9720,1116
2066-14,1,7860,601
3311-22,1,10500,2130
305-38,1,2580,350
4879-28,1,2280,660
3943-25,2,15180,830
1684-10,1,4740,848
2317-26,1,4920,1772
2317-15,1,4620,1133
2966-1,2,9600,1177
3391-52,1,6660,1069
37-29,2,13440,2736
3224-12,1,2340,1291
280-34,1,8520,1331
2447-17,2,10140,1174
3305-34,1,7500,1527
3040-22,1,2760,826
1652-38,2,12660,2681
2849-7,2,15060,2464
47-39,1,2100,193
2716-30,1,10740,485
289-33,1,5160,920
695-31,3,22380,3687
382-6,2,19860,2633
241-15,1,4260,440
2948-10,1,10380,794
4101-35,1,2520,1286
4612-38,2,16500,1655
4387-7,1,10320,559
2468-23,1,5820,323
1494-1,1,6240,1575
4265-36,1,7440,424
1905-3,2,14820,975
2130-1,1,2400,611
2568-26,1,7860,909
1722-17,2,10680,2024
1505-1,1,5520,732
1979-14,2,19860,1116
667-6,2,10440,2710
934-38,1,7260,452
1831-10,1,1980,1049
787-14,2,14220,528
4360-32,1,7680,1352
203-32,2,10860,2456
582-17,3,18840,2477
487-15,1,9480,351
4448-9,2,14160,1394
4766-39,1,5160,1245
2542-15,2,13980,2078
1676-30,1,7920,1545
1968-23,1,2520,1046
279-20,1,7560,213
1552-23,1,6000,1325
2716-17,2,14160,1933
3475-26,2,10440,2061
3351-16,1,10560,823
2039-20,3,11400,2849
4901-38,1,6600,1196
1279-36,2,14640,2741
729-29,1,4260,257
4349-7,1,8520,815
2048-20,2,14700,2201
3188-27,1,5700,411
2339-38,1,2640,713
2930-28,2,11400,844
4906-32,1,4560,1353
3573-6,2,10380,3056
3150-33,1,4380,836
3265-26,1,7800,630
2519-7,1,5160,677
2042-16,1,4140,1441
3904-13,1,2460,1173
4810-12,3,21660,1491
1128-13,1,7620,998
4972-14,2,16860,1348
2109-35,1,8220,1250
4888-1,1,6480,673
3881-6,1,4860,558
3672-10,2,5340,1375
2264-40,1,6300,1137
1499-5,2,15780,2427
389-18,1,10080,533
2828-29,1,5100,835
2881-22,1,5760,807
1681-20,1,2700,948
300-8,2,11820,2696
4311-14,1,4860,1160
4965-21,1,6840,670
3005-1,1,9000,269
2038-32,1,10200,1206
1425-40,1,7140,356
2373-7,2,7080,3389
2680-22,1,5880,716
1967-36,1,2400,205
3264-32,2,18240,1982
3913-1,1,4740,1200
1947-30,1,10200,362
2050-25,1,4980,900
3781-29,2,13980,2601
3313-25,1,5340,351
4271-14,1,5220,505
1151-31,1,8940,861
2935-5,2,12120,1422
1963-22,1,8640,551
792-36,1,5280,1787
4783-19,1,6660,922
929-22,2,12540,2148
4036-21,1,10080,1221
1114-29,2,17460,1934
4670-22,1,5820,410
2728-41,2,10500,1395
758-16,1,8700,1499
4962-29,3,16860,2068
1090-12,2,12360,1989
2462-13,1,10500,1190
2866-14,1,9300,1361
4752-40,1,3480,999
3982-25,1,7620,510
2474-20,1,8820,287
1587-12,3,20520,2306
2555-29,1,10140,391
4611-3,1,9360,505
3982-31,3,16320,3095
1330-21,1,4980,750
2050-15,2,11580,1772
1-14,1,9840,599
4739-30,2,14760,2195
4588-5,1,1800,935
3692-10,2,14340,2857
3373-13,1,3840,1542
4725-23,2,16440,1634
1201-26,2,11280,2323
3377-29,1,8580,1013
4969-12,2,10560,1208
1813-24,2,7800,3064
4322-13,1,7980,435
2189-3,1,5400,1349
198-28,1,2940,620
2892-33,2,5940,1790
915-34,2,16080,1887
368-13,1,5220,660
3274-13,1,6300,1363
4401-22,1,6660,909
2730-4,1,1980,1254
4919-15,2,6720,1409
1073-28,1,3840,1726
401-6,3,23340,2761
395-17,1,7320,775
1935-41,2,13200,2843
4899-7,1,7140,1538
1445-40,2,9180,1687
2740-21,2,9900,1007
4207-32,1,10500,699
3081-2,2,14520,2954
4086-7,1,10380,2037
888-7,1,9840,347
541-2,2,16020,1542
593-8,1,7380,360
1222-32,1,4440,866
2849-17,1,7440,689
1711-29,1,4500,490
26-6,1,4860,523
2876-30,1,8100,1503
7-17,2,19260,1640
4841-39,1,6840,699
2552-10,2,18000,2699
2293-34,2,15840,956
1808-30,2,14880,2388
1176-3,1,7740,1284
1461-27,1,7740,743
2592-27,2,12960,2131
486-35,1,9240,1292
3639-4,3,17280,2348
280-24,1,4080,445
3520-31,1,8520,1516
2205-9,1,8820,497
2339-10,2,18960,1734
2939-1,2,10920,3197
1547-4,1,9840,315
1950-33,1,1860,1447
3795-17,1,10080,1124
3678-10,1,4680,670
3868-34,1,10380,385
2367-39,1,3060,905
4407-19,2,7020,1998
2274-52,1,10320,1244
1995-9,1,6840,547
3792-28,3,12720,2664
1925-30,1,10380,581
2318-11,1,2340,1128
716-6,2,13140,2408
1156-25,1,9600,1062
165-8,1,5040,509
2773-3,3,19980,2333
4022-26,2,12900,1779
443-32,1,10140,667
2788-31,3,20340,2513
969-30,1,6660,914
3535-21,1,5040,1340
1814-37,1,4680,968
1261-5,1,2640,372
719-6,2,14520,2391
3844-33,1,3540,855
3156-11,1,8520,592
4246-13,1,8280,1046
2133-6,3,23040,3787
1088-3,1,6540,827
879-20,1,6240,1404
4278-10,1,6180,644
4681-7,1,6600,1045
3550-30,1,9000,763
3104-30,2,18600,2079
1216-6,2,10440,1611
4311-20,1,4800,1519
4279-26,2,16260,1544
2902-15,3,20640,2963
3686-31,1,8100,1405
3152-5,1,5580,386
4079-8,1,4320,2067
1541-31,2,8280,3092
187-41,1,6180,1070
325-1,2,11820,1404
2910-36,1,9540,1176
227-28,1,6060,169
1791-29,1,7920,1579
4725-37,1,8940,309
3986-16,1,6000,1267
3423-34,1,4260,1485
606-39,1,10440,218
3080-12,1,7140,715
575-32,1,9960,896
3619-38,1,10140,631
2209-31,1,1860,1569
2250-22,1,3000,239
2740-32,1,2160,583
3175-8,1,4740,462
3222-24,1,2160,814
3153-32,1,3780,531
1277-9,1,2580,789
3176-12,1,4500,1138
4126-37,2,12600,813
3109-18,1,4020,473
4706-25,1,9060,674
3360-17,3,11220,2168
2946-16,2,19380,1481
1899-38,1,1920,661
1092-30,1,6060,872
2714-16,1,5160,1021
2310-34,1,2220,301
3792-6,1,8760,827
50-4,1,6900,577
2146-6,1,4260,678
4928-7,3,13800,2492
3791-26,2,15780,1284
544-14,2,15120,2005
2848-34,1,4980,1094
3663-19,1,8460,1311
2098-14,2,4800,1354
2423-19,1,5640,1572
47-1,1,9480,1749
3071-7,1,3300,1098
3578-40,1,2820,799
4633-21,2,7860,1053
2738-32,1,7320,718
1914-18,1,3300,306
2823-27,1,7860,792
853-20,1,7860,1482
2875-31,2,10800,2256
2783-29,1,7620,927
3101-41,2,12960,1837
634-23,1,4980,518
3171-32,1,6900,210
3246-41,2,13140,1943
3375-23,1,2940,385
4550-8,2,16320,1097
4016-38,1,10020,494
1488-32,2,13620,1015
2624-4,1,9180,550
4482-8,3,24600,2415
3321-28,3,20520,2143
545-28,1,3600,1255
3997-25,2,12600,1858
111-38,1,5160,474
3685-19,1,4560,1072
4001-38,1,4740,945
4367-7,1,9540,363
584-35,1,7020,690
3273-8,1,8460,1141
2482-14,1,5160,740
359-17,1,7800,1043
3723-36,2,11220,1569
2668-24,1,6180,261
2391-35,1,3000,443
1385-5,1,4740,654
2595-13,2,10020,1839
189-1,1,2100,1195
1895-37,1,6960,1639
4576-8,3,25860,2331
1405-3,2,11940,3378
1198-4,2,14400,1391
1553-6,1,8460,535
4479-11,2,13500,1622
882-12,3,20520,3482
3738-31,2,12540,982
1792-9,1,1800,1071
2106-26,1,5940,892
1146-31,5,27120,5351
2208-29,1,2640,343
463-11,1,4560,499
2036-34,1,6360,634
2330-6,1,6960,593
4294-34,3,20640,2975
431-16,2,11640,1465
4724-4,1,9120,514
4295-7,1,6240,1943
4423-22,1,9000,936
837-12,1,3060,802
519-10,1,6060,652
1189-32,1,7200,836
3462-5,3,29880,3125
4112-6,2,15300,3034
4482-32,2,7200,1611
3423-29,2,15000,1883
245-32,1,9000,668
2647-31,2,5940,1470
114-23,1,6960,748
1366-1,1,9840,1183
1925-22,2,16320,1422
849-41,1,8640,918
847-7,2,16560,1373
4950-40,1,2040,220
4420-4,2,8220,1599
88-52,1,10560,1597
223-12,2,11640,1204
3008-21,1,8100,1167
172-27,1,5940,886
3129-8,1,5940,276
4365-31,1,7620,598
4929-32,2,12900,563
4372-38,1,3420,955
1258-26,1,6480,700
1150-23,2,6480,2342
4594-12,4,33300,3365
1900-39,2,12300,984
4688-30,2,5700,3363
9-22,1,2220,786
2152-3,1,7080,583
2701-15,1,4920,475
676-26,1,2940,1860
3858-23,1,2760,994
3397-1,1,6420,1042
3351-21,2,13560,1793
770-16,1,6300,873
942-35,1,7140,454
3047-20,1,4080,699
2017-28,1,7140,987
2022-21,1,3300,355
3406-40,2,18240,3208
3756-7,1,4500,834
4687-26,2,12960,1280
1415-32,2,13980,952
2875-29,3,15540,2190
4914-36,1,2760,1170
3920-22,1,7560,1374
2150-20,2,12180,2418
274-17,1,10620,813
571-35,1,4140,378
1684-1,1,10080,1566
4075-35,1,7860,1308
4452-36,1,7920,1053
3565-34,2,16020,2182
4522-18,1,3540,390
1856-3,2,14340,1140
3932-7,1,6660,948
4003-38,3,15720,4055
1048-29,1,4440,1021
411-13,2,12120,1920
1390-4,1,4380,1104
3543-6,1,5460,1114
1677-29,2,17100,641
1790-31,2,11040,845
2031-7,2,9120,2293
2523-15,2,15720,2843
156-41,3,17220,1981
3158-16,1,9120,933
4423-39,1,10380,359
1169-7,3,16560,1866
4852-41,4,29160,3700
3720-16,2,9900,1429
1523-10,1,8160,932
4944-33,2,15300,2216
1956-38,1,2940,1179
2311-27,1,10560,1197
506-18,2,7080,1988
331-41,1,6000,553
3009-15,1,2400,324
522-1,1,9900,377
1420-4,1,9480,2019
116-36,1,9240,648
957-35,2,11580,1556
3940-7,1,6480,1243
4307-13,2,8880,1628
1395-20,1,9540,617
1373-6,2,12660,1461
393-28,1,6780,1142
2996-21,2,16260,1822
492-27,1,3180,446
64-33,3,20280,1819
1617-52,1,6420,523
4290-27,2,11760,1815
250-14,2,9420,2015
4779-33,1,10440,538
4249-22,1,6840,308
1161-37,1,9960,690
3094-6,1,7740,574
1162-19,1,8160,304
2453-41,2,11280,1315
345-24,1,7020,1220
3848-40,1,10080,1295
920-14,1,6840,348
2866-35,1,3360,1833
4255-38,1,6000,1044
1794-20,1,2760,1495
2738-9,1,3480,881
1004-24,2,14280,2174
4746-41,1,4560,702
759-4,1,3360,655
987-24,1,6180,1355
1877-40,1,3660,1178
3906-33,1,1800,1245
1491-29,1,9720,831
1398-4,1,5220,517
4019-25,3,21420,2209
2012-15,1,3480,416
4767-27,1,6660,1523
3193-14,3,20160,1794
1046-22,1,10440,1606
3876-15,2,12180,1929
3609-20,2,13500,1836
4384-6,1,9180,1192
831-39,1,4560,933
4870-35,1,4080,846
4139-16,2,13380,2905
2979-21,2,16260,1961
3179-38,1,4320,1115
1277-37,1,2820,532
2943-35,2,19740,1977
4548-24,1,6300,526
4192-6,2,9360,2812
4145-8,1,5040,740
3165-14,1,3060,750
1921-30,1,1860,1656
4690-28,2,12180,2133
4627-36,2,15240,1166
1333-28,1,1920,677
4968-39,1,2220,924
4762-14,1,5940,927
838-6,1,8460,276
2266-9,2,9300,2589
571-20,1,6300,896
1017-11,2,11220,1606
579-9,1,4860,1258
19-39,1,8520,266
560-35,1,5400,625
1059-5,2,6840,1114
4822-13,2,10440,1755
2082-40,2,10140,2466
1038-24,1,3540,701
1406-17,1,10140,718
1698-40,1,7800,1105
1932-13,1,2760,1658
2031-8,1,9840,485
2687-20,1,9060,1591
2845-5,2,15240,2152
1334-37,2,13380,520
4799-18,1,6360,1746
413-21,1,10440,945
4344-4,1,2640,743
2314-30,1,9720,1789
3866-38,1,7020,507
3741-24,1,6420,1137
1747-13,1,6000,248
3019-21,2,15000,2092
1392-12,2,15900,2858
4479-33,1,7080,221
4560-24,2,6840,2104
2440-8,1,2340,470
1882-5,1,8340,846
1318-10,2,12660,1771
2660-52,1,10680,1066
4676-35,3,15480,2179
468-31,1,2400,780
2395-31,2,16500,1008
4676-6,1,8880,719
1420-12,2,13560,1635
4242-7,2,9240,3302
4591-1,2,15240,1158
4627-11,1,6480,1318
2812-41,1,9000,991
2440-18,2,19800,2224
1731-12,1,6060,718
3336-11,2,10080,2503
2939-10,2,12480,2807
193-2,1,3660,1341
2966-38,1,6120,420
2026-41,2,13740,1279
2186-15,1,6720,1329
3463-25,1,9600,1351
2630-25,1,2100,467
4904-34,2,12660,2282
2569-28,1,10020,974
4224-7,2,12000,1232
2913-19,1,10020,1045
2044-26,1,4920,635
1615-20,2,16440,2988
2535-17,1,8340,902
272-25,1,4320,544
3090-22,2,13740,808
2457-28,1,5700,1091
3412-27,1,8280,1633
4697-6,1,2880,607
4701-11,2,9780,2212
952-34,1,9240,916
4509-9,1,4980,207
2639-13,1,7680,875
3612-41,1,9120,577
544-52,1,6480,1411
1168-6,3,28740,2110
2962-28,1,6660,1457
181-36,1,8220,842
1044-31,1,3360,607
4472-21,1,10440,452
2201-17,3,23460,1745
4986-36,1,3240,715
3079-4,1,6420,1675
2164-18,2,6960,1572
4740-3,1,1860,1390
1760-3,1,3360,332
2860-12,1,2820,713
3353-23,1,7560,1083
2312-11,2,12180,1525
4697-40,1,4140,1477
4181-6,1,8460,809
4924-4,1,3960,1713
1603-24,1,5580,428
4146-39,2,15000,2170
4023-39,2,13860,1757
987-39,1,8400,440
772-2,1,7080,1020
2413-6,2,18780,1898
1397-10,1,6060,725
2936-37,2,10800,837
3615-22,1,3540,1384
2937-41,1,9120,1213
3876-27,1,10260,888
2470-35,1,9960,742
3829-2,1,2220,1241
1890-5,1,5280,388
3418-28,1,8820,1170
1231-20,2,10380,2471
1458-40,1,10320,520
1018-11,1,3720,518
3220-9,1,9780,1075
4062-4,1,4200,681
847-34,1,6180,1406
4352-12,2,18780,1615
562-26,3,11340,2719
2139-10,1,4920,1045
4244-31,1,10200,524
4355-5,2,9180,1811
4448-38,1,4980,1452
3368-29,3,17700,2652
1168-2,1,3420,1612
3086-38,1,7740,1376
2037-39,2,16440,2058
1354-5,2,15420,1423
2639-32,1,6600,910
3100-5,4,25560,3319
3661-31,2,12960,2053
3919-39,1,3420,1688
591-39,2,14520,1701
1999-20,1,8460,726
1967-40,1,4200,427
3319-8,1,5340,867
2506-16,2,11520,1660
1144-35,2,10200,1618
4548-27,2,11580,1278
3422-6,1,2400,584
4535-31,3,27360,2096
3978-18,1,7560,836
4431-24,1,6240,764
737-23,2,7860,2134
4356-27,1,9840,899
2574-35,2,14280,1772
3478-13,1,2700,1535
1104-12,1,1860,536
1784-10,1,8880,320
2725-29,1,6180,590
3929-22,1,2700,912
438-6,2,10980,2196
1101-3,1,5040,770
504-29,2,13680,1194
2519-29,1,7560,1044
1100-15,1,7380,926
2105-22,2,13620,2201
3292-24,2,17520,1640
4233-31,1,3000,1001
2677-32,1,8760,673
261-26,2,18540,1556
3915-36,1,5700,796
733-39,2,9840,1192
229-28,2,9000,2349
1578-5,2,20400,1344
4463-39,1,5340,860
627-21,1,8160,1123
1928-9,2,15600,1532
2948-34,1,6600,474
1879-39,2,7020,1268
4388-14,1,9540,1145
2518-24,1,2940,536
596-27,1,10440,1754
4829-9,1,8940,1478
2570-4,1,8160,1301
4463-23,1,8040,1162
1708-3,1,8340,1200
2117-20,2,15240,1524
2920-16,2,12060,2999
4205-40,1,2940,1295
1785-22,1,1860,692
3855-39,1,9060,765
1341-4,1,3060,1206
4516-26,1,4980,533
3750-22,1,5460,255
2521-39,1,4740,752
876-22,2,7440,1061
967-29,1,9780,1174
327-25,2,13620,1662
3186-21,1,7380,1404
171-13,1,5940,1388
185-5,1,5460,948
4066-31,1,8040,191
1202-31,1,8700,1267
3900-33,1,4500,1311
2774-22,1,7020,1012
4685-7,1,4260,1123
3898-21,2,13560,2194
2186-22,2,10260,672
4658-24,1,1920,1713
3052-4,2,12300,2551
2270-8,1,5040,557
3225-20,2,12780,1974
3569-1,2,16800,3344
2518-18,1,1860,893
4925-34,1,5340,790
2299-7,2,14700,2282
1401-37,1,3180,1141
1355-11,2,15180,1806
4805-19,1,8400,666
487-10,2,9120,1526
2416-22,2,18180,3112
1242-32,1,7560,809
719-29,2,11160,836
